"site_id","building_id","primary_use","square_feet","floor_count","row_id","year_built","latent_y","latent_s","latent_r"
2,165,Warehouse,3877,1,166,1982,18,3.5884957,3
2,229,Education,140092,1,230,1999,1,5.1464133,3
1,121,Education,150318,9,122,1913,87,4.2227683,2
8,871,Entertainment,1536,1,872,1974,26,3.186391,4
9,939,Residential,8051,1,940,1980,20,3.90585,4
5,675,Industrial,3853,1,676,1983,17,3.585799,4
3,311,Education,50000,1,312,1935,65,4.69897,3
8,870,Entertainment,755,1,871,1993,7,2.8779469,4
2,254,Entertainment,254766,1,255,1996,4,5.4061413,3
15,1422,Residential,19876,1,1423,1939,61,4.298329,4
6,747,Education,30531,1,748,1994,6,4.484741,4
0,59,Entertainment,81337,1,60,2012,12,4.9102883,2
3,430,Community,23918,1,431,1986,14,4.378725,3
9,979,Entertainment,52357,1,980,2009,9,4.7189746,4
2,157,Office,5258,1,158,1967,33,3.7208207,3
13,1181,Education,60606,1,1182,2004,4,4.7825155,4
4,597,Community,189425,4,598,2001,1,4.675375,3
13,1176,Education,142672,1,1177,1989,11,5.154339,4
9,927,Residential,745671,1,928,1979,21,5.872547,4
15,1396,Residential,96336,1,1397,1920,80,4.9837885,4
3,424,Community,32527,1,425,1972,28,4.512244,3
2,223,Education,261188,1,224,2022,22,5.416953,3
13,1183,Entertainment,166856,1,1184,1973,27,5.222342,4
13,1220,Community,381221,1,1221,1978,22,5.5811768,4
2,158,Office,10135,1,159,1995,5,4.0058236,3
9,908,Education,91254,1,909,2016,16,4.960252,4
1,129,Residential,102957,7,130,1975,25,4.1675534,2
14,1306,Residential,54172,1,1307,1994,6,4.7337747,4
4,615,Education,153700,7,616,1997,3,4.341573,3
2,247,Education,64560,1,248,1972,28,4.8099637,3
2,272,Education,4583,1,273,2011,11,3.6611497,3
3,295,Education,83400,1,296,1949,51,4.921166,3
0,21,Office,7043,1,22,1997,3,3.8477576,1
8,833,Community,6392,1,834,1985,15,3.805637,4
4,620,Education,220703,9,621,2018,18,4.389556,3
10,1003,Education,94751,3,1004,1993,7,4.4994535,4
14,1295,Office,115676,1,1296,2021,21,5.0632434,4
14,1291,Office,237546,1,1292,2017,17,5.3757477,4
4,601,Entertainment,11910,2,602,1910,90,3.7748818,3
5,691,Office,42647,1,692,1983,17,4.6298885,4
6,769,Education,77263,1,770,1995,5,4.8879714,4
4,572,Education,94175,9,573,1971,29,4.019656,3
5,714,Education,8730,1,715,1983,17,3.9410143,4
4,584,Education,137806,8,585,1974,26,4.2361593,3
3,379,Entertainment,7675,1,380,2012,12,3.8850784,3
3,396,Community,16768,1,397,1987,13,4.224481,3
15,1448,Office,92271,1,1449,2008,8,4.965065,4
13,1102,Office,87187,1,1103,2021,21,4.9404516,4
6,770,Education,80325,1,771,1979,21,4.904851,4
0,95,Residential,200933,1,96,2013,13,5.3030515,2
13,1207,Healthcare,74443,1,1208,1993,7,4.871824,4
14,1250,Education,232139,1,1251,1994,6,5.365748,4
13,1169,Education,155439,1,1170,2001,1,5.19156,4
2,215,Residential,36406,1,216,1947,53,4.561173,3
3,390,Office,34400,1,391,1984,16,4.5365586,3
2,186,Religious,1629,1,187,1955,45,3.211921,3
3,463,Community,25000,1,464,2016,16,4.39794,3
13,1089,Office,62837,1,1090,1988,12,4.7982154,4
4,609,Education,141461,6,610,1914,86,4.37247,3
3,426,Education,101400,1,427,1937,63,5.006038,3
13,1214,Office,195437,1,1215,2005,5,5.2910066,4
1,146,Office,31614,8,147,1963,37,3.596707,2
13,1170,Office,59476,1,1171,1978,22,4.7743416,4
6,748,Office,32766,1,749,2010,10,4.5154233,4
13,1110,Office,27145,1,1111,1979,21,4.43369,4
9,938,Residential,11227,1,939,1993,7,4.050264,4
1,105,Education,50623,5,106,1974,26,4.005352,2
3,384,Office,13728,1,385,2010,10,4.137607,3
9,911,Education,239638,1,912,1996,4,5.3795557,4
1,123,Education,61204,6,124,1996,4,4.0086,2
0,73,Parking,387638,1,74,2015,15,5.588426,2
1,112,Education,32206,6,113,2008,8,3.7297316,2
10,1012,Education,23112,2,1013,1991,9,4.0628076,4
8,808,Other,9357,1,809,2011,11,3.9711366,4
3,292,Community,33743,1,293,1997,3,4.5281835,3
14,1324,Entertainment,84688,1,1325,1975,25,4.927822,4
4,626,Community,130581,5,627,1977,23,4.416907,3
3,395,Community,8925,1,396,1919,81,3.9506083,3
14,1247,Restaurant,69876,1,1248,2023,23,4.844328,4
2,263,Education,87673,1,264,1967,33,4.942866,3
2,183,Education,132518,1,184,1999,1,5.122275,3
2,184,Education,34171,1,185,1975,25,4.5336576,3
1,126,Education,21539,5,127,2011,11,3.6341748,2
0,26,Office,26953,1,27,2012,12,4.4306073,1
8,864,Community,16584,1,865,1993,7,4.2196894,4
14,1240,Community,73277,1,1241,2021,21,4.864968,4
1,143,Office,40085,4,144,1985,15,4.000911,2
15,1437,Education,111518,1,1438,1975,25,5.047345,4
8,860,Other,12259,1,861,2021,21,4.088455,4
12,1057,Education,26372,4,1058,1984,16,3.819083,4
13,1203,Residential,138602,1,1204,2020,20,5.1417694,4
9,904,Education,29961,1,905,2016,16,4.4765563,4
8,869,Entertainment,875000,1,870,2019,19,5.942008,4
3,370,Entertainment,15960,1,371,2012,12,4.203033,3
15,1410,Office,11524,1,1411,2001,1,4.061603,4
3,334,Education,57100,1,335,1967,33,4.756636,3
8,828,Other,102994,1,829,1998,2,5.012812,4
14,1309,Residential,58041,1,1310,1989,11,4.763735,4
7,803,Education,182986,3,804,1969,31,4.785294,4
9,996,Education,77632,1,997,1976,24,4.890041,4
0,51,Parking,387638,1,52,2021,21,5.588426,2
4,598,Community,68701,4,599,1937,63,4.2348967,3
14,1242,Office,23871,1,1243,1991,9,4.3778706,4
14,1266,Community,13469,1,1267,2021,21,4.1293354,4
14,1301,Education,62242,1,1302,1994,6,4.7940836,4
2,214,Education,91273,1,215,1958,42,4.9603424,3
15,1408,Entertainment,28760,1,1409,2014,14,4.458789,4
0,32,Office,48392,1,33,2012,12,4.6847734,2
1,145,Office,14219,4,146,2020,20,3.5507174,2
12,1038,Technology,9838,1,1039,1978,22,3.9929068,4
8,873,Office,40142,1,874,2022,22,4.603599,4
3,507,Education,61151,1,508,1982,18,4.7864037,3
15,1389,Entertainment,17104,1,1390,1960,40,4.2330976,4
3,434,Education,39500,1,435,1980,20,4.596597,3
13,1078,Entertainment,80438,1,1079,1987,13,4.9054613,4
10,1019,Entertainment,39788,5,1020,2004,4,3.9007494,4
13,1163,Parking,83919,1,1164,2022,22,4.92386,4
6,775,Office,104355,1,776,1968,32,5.018513,4
0,39,Office,64619,1,40,1976,24,4.8103604,2
15,1370,Education,4773,1,1371,2017,17,3.6787915,4
15,1381,Office,84615,1,1382,1970,30,4.9274473,4
3,420,Community,81397,1,421,2011,11,4.9106083,3
8,831,Entertainment,4065,1,832,1967,33,3.6090605,4
15,1329,Technology,60100,1,1330,1919,81,4.7788744,4
5,742,Entertainment,31829,2,743,1983,17,4.2017794,4
15,1338,Education,31415,1,1339,1919,81,4.497137,4
13,1178,Education,133072,1,1179,2022,22,5.124087,4
3,428,Entertainment,1396,1,429,2017,17,3.1448853,3
12,1053,Office,21582,1,1054,2013,13,4.3340917,4
3,499,Education,376507,1,500,2018,18,5.5757732,3
0,47,Retail,31666,1,48,2015,15,4.500593,2
6,761,Entertainment,52534,1,762,1970,30,4.7204404,4
3,293,Office,408000,1,294,2017,17,5.61066,3
8,849,Community,6448,1,850,1996,4,3.809425,4
8,825,Community,3592,1,826,1978,22,3.5553362,4
9,924,Entertainment,252268,1,925,2009,9,5.401862,4
14,1263,Education,97838,1,1264,2020,20,4.9905076,4
6,772,Residential,87661,1,773,1997,3,4.9428062,4
4,594,Education,177281,7,595,1971,29,4.4035497,3
3,440,Community,35033,1,441,1969,31,4.5444775,3
9,987,Education,166395,1,988,1980,20,5.2211404,4
3,448,Office,328760,1,449,1911,89,5.516879,3
4,578,Residential,71994,4,579,2011,11,4.255224,3
1,122,Education,83043,6,123,1998,2,4.141136,2
6,757,Education,46813,1,758,1970,30,4.6703663,4
3,340,Entertainment,1843,1,341,1968,32,3.2655253,3
5,700,Education,11464,1,701,1983,17,4.059336,4
5,733,Education,96929,3,734,1973,27,4.5093236,4
8,806,Other,28693,2,807,1998,2,4.1567307,4
3,525,Community,9062,1,526,2000,0,3.9572241,3
13,1180,Education,95182,1,1181,2000,0,4.9785547,4
9,913,Entertainment,503634,1,914,1992,8,5.702115,4
4,574,Education,56343,4,575,1912,88,4.148757,3
15,1423,Residential,18277,1,1424,1972,28,4.2619047,4
13,1099,Education,332884,1,1100,2004,4,5.522293,4
4,606,Utility,23432,2,607,2006,6,4.0687795,3
14,1321,Entertainment,370024,1,1322,2011,11,5.5682297,4
8,821,Other,2555,1,822,1996,4,3.4073908,4
4,625,Education,55516,5,626,1985,15,4.04544,3
13,1076,Residential,117054,1,1077,1971,29,5.068386,4
14,1317,Entertainment,180806,1,1318,1966,34,5.2572126,4
13,1116,Services,11681,1,1117,2023,23,4.06748,4
13,1222,Residential,187174,1,1223,2001,1,5.2722454,4
4,566,Education,2010,1,567,1964,36,3.303196,3
2,271,Education,71421,1,272,1993,7,4.853826,3
15,1339,Education,140488,1,1340,1968,32,5.1476393,4
13,1161,Office,53077,1,1162,1982,18,4.7249064,4
5,735,Education,155807,2,736,2020,20,4.8915544,4
9,976,Education,59498,1,977,1974,26,4.7745023,4
3,368,Retail,16500,1,369,1967,33,4.217484,3
5,729,Education,17190,2,730,1926,74,3.9342458,4
0,49,Residential,24456,1,50,1975,25,4.3883853,2
3,455,Healthcare,29192,1,456,2021,21,4.465264,3
0,16,Education,54644,1,17,2003,3,4.7375426,1
10,999,Education,113580,2,1000,1973,27,4.754272,4
14,1245,Healthcare,35354,1,1246,2002,2,4.5484385,4
4,591,Entertainment,59326,1,592,1939,61,4.773245,3
9,884,Education,38598,1,885,2004,4,4.586565,4
15,1388,Healthcare,45465,1,1389,1997,3,4.657677,4
0,18,Education,111891,1,19,2003,3,5.048795,1
15,1326,Office,46981,1,1327,1969,31,4.671922,4
9,881,Entertainment,344798,1,882,2005,5,5.5375648,4
2,176,Education,62238,1,177,1977,23,4.7940555,3
0,87,Entertainment,6412,1,88,2013,13,3.8069935,2
6,776,Office,104667,1,777,1993,7,5.0198097,4
0,27,Residential,59200,1,28,2006,6,4.7723217,1
3,433,Entertainment,23055,1,434,1966,34,4.3627653,3
14,1249,Office,159384,1,1250,2006,6,5.2024446,4
5,698,Education,13939,1,699,1983,17,4.144232,4
8,858,Other,1566,1,859,2012,12,3.1947918,4
0,55,Office,16726,1,56,2018,18,4.223392,2
3,418,Entertainment,86120,1,419,1933,67,4.935104,3
3,513,Community,112283,1,514,1976,24,5.050314,3
5,676,Industrial,90697,2,677,1983,17,4.656558,4
4,605,Education,51020,5,606,1931,69,4.0087705,3
3,480,Office,30000,1,481,2011,11,4.4771214,3
14,1258,Education,273234,1,1259,1975,25,5.436535,4
9,902,Education,14561,1,903,1996,4,4.1631913,4
10,1011,Education,65144,4,1012,1966,34,4.2118144,4
5,728,Education,30300,2,729,1973,27,4.180413,4
2,182,Entertainment,1022,1,183,2010,10,3.009451,3
4,577,Education,113589,3,578,1965,35,4.578215,3
15,1403,Residential,78438,1,1404,2011,11,4.8945265,4
13,1188,Office,37096,1,1189,2017,17,4.569327,4
0,0,Education,7432,1,1,2015,15,3.8711057,0
3,505,Warehouse,51622,1,506,1982,18,4.712835,3
15,1424,Residential,24103,1,1425,1971,29,4.382071,4
15,1409,Residential,48881,1,1410,1909,91,4.6891403,4
2,277,Education,12761,1,278,1916,84,4.1058846,3
14,1224,Office,23481,1,1225,2022,22,4.3707166,4
3,464,Community,9816,1,465,2004,4,3.9919345,3
3,520,Office,27600,1,521,2006,6,4.440909,3
3,504,Warehouse,112536,1,505,1994,6,5.0512915,3
8,829,Warehouse,15879,1,830,1966,34,4.2008233,4
0,82,Office,10743,1,83,1981,19,4.0311255,2
12,1062,Education,65843,1,1063,2016,16,4.8185096,4
3,444,Community,12945,1,445,1967,33,4.112102,3
6,758,Residential,47007,1,759,2014,14,4.6721625,4
3,359,Community,4925,1,360,1985,15,3.6924062,3
0,52,Education,106523,1,53,1977,23,5.0274434,2
13,1107,Education,184098,1,1108,1996,4,5.265049,4
3,467,Community,47439,1,468,1995,5,4.6761355,3
13,1193,Office,106511,1,1194,1966,34,5.0273943,4
6,754,Office,41337,1,755,1986,14,4.6163387,4
3,503,Other,10762,1,504,2011,11,4.031893,3
14,1286,Healthcare,205472,1,1287,2016,16,5.3127527,4
13,1114,Other,64810,1,1115,1993,7,4.811642,4
5,721,Education,121471,3,722,1973,27,4.607348,4
13,1211,Office,94988,1,1212,1969,31,4.977669,4
15,1447,Residential,29775,1,1448,2008,8,4.4738517,4
13,1165,Office,28991,1,1166,1997,3,4.462263,4
3,484,Community,18000,1,485,2015,15,4.2552724,3
5,707,Education,11270,1,708,1983,17,4.0519238,4
3,349,Community,45098,1,350,2007,7,4.654157,3
5,731,Education,29149,2,732,1926,74,4.163579,4
13,1074,Office,89858,1,1075,1990,10,4.9535565,4
2,236,Entertainment,144086,1,237,1996,4,5.158622,3
14,1307,Residential,66013,1,1308,1974,26,4.8196297,4
15,1384,Education,56969,1,1385,1974,26,4.7556386,4
0,90,Residential,59200,1,91,2006,6,4.7723217,2
13,1095,Education,32256,1,1096,2008,8,4.5086107,4
13,1100,Residential,174924,1,1101,1972,28,5.2428493,4
3,354,Education,77500,1,355,1992,8,4.889302,3
1,130,Residential,62893,16,131,1967,33,3.5943925,2
3,298,Entertainment,39541,1,299,1979,21,4.597048,3
15,1402,Residential,133594,1,1403,1968,32,5.125787,4
3,301,Community,51176,1,302,2014,14,4.7090664,3
5,672,Industrial,6329,2,673,1926,74,3.5002365,4
8,838,Community,18414,1,839,2013,13,4.265148,4
9,940,Residential,8079,1,941,1971,29,3.9073577,4
14,1315,Entertainment,82789,1,1316,1968,32,4.9179726,4
5,683,Office,4650,2,684,1983,17,3.366423,4
13,1127,Office,87131,1,1128,2013,13,4.9401727,4
15,1436,Industrial,11302,1,1437,1944,56,4.0531554,4
3,536,Entertainment,1962,1,537,1978,22,3.292699,3
14,1308,Residential,62279,1,1309,1968,32,4.7943416,4
2,241,Entertainment,51999,1,242,1981,19,4.715995,3
4,590,Education,8516,2,591,1927,73,3.6292057,3
14,1269,Healthcare,56388,1,1270,2000,0,4.751187,4
3,399,Education,180000,1,400,1946,54,5.2552724,3
13,1187,Office,121714,1,1188,2017,17,5.0853405,4
15,1387,Office,187041,1,1388,1980,20,5.271937,4
14,1260,Office,86455,1,1261,2022,22,4.93679,4
2,166,Residential,553210,1,167,2016,16,5.74289,3
0,29,Education,113866,1,30,2013,13,5.056394,1
9,874,Office,181805,1,875,1966,34,5.259606,4
14,1259,Education,71088,1,1260,1981,19,4.851796,4
14,1303,Healthcare,200000,1,1304,1974,26,5.30103,4
15,1346,Education,34875,1,1347,2000,0,4.5425143,4
12,1059,Entertainment,116186,1,1060,1978,22,5.0651536,4
13,1143,Office,96612,1,1144,1997,3,4.985031,4
3,400,Community,19315,1,401,1989,11,4.285895,3
1,117,Education,15489,4,118,2011,11,3.5879354,2
5,709,Education,23067,2,710,1983,17,4.061942,4
3,310,Community,22000,1,311,1993,7,4.3424225,3
8,868,Community,60000,1,869,1997,3,4.778151,4
8,813,Community,5630,1,814,1972,28,3.7505083,4
1,144,Office,57673,5,145,2021,21,4.06198,2
12,1067,Education,125701,1,1068,1995,5,5.0993385,4
13,1085,Education,58377,1,1086,1967,33,4.7662416,4
3,372,Education,49100,1,373,1918,82,4.6910815,3
13,1217,Education,73044,1,1218,2010,10,4.8635845,4
3,450,Education,116872,1,451,1938,62,5.0677104,3
14,1251,Education,104604,1,1252,1984,16,5.0195484,4
3,476,Entertainment,1102,1,477,1974,26,3.0421815,3
14,1318,Entertainment,73488,1,1319,1993,7,4.8662167,4
0,58,Residential,83379,1,59,2020,20,4.9210567,2
3,489,Education,85039,1,490,1932,68,4.9296184,3
2,216,Education,137065,1,217,1971,29,5.1369267,3
14,1298,Education,171084,1,1299,2000,0,5.2332096,4
3,306,Education,51500,1,307,1938,62,4.7118073,3
3,374,Residential,350000,1,375,1956,44,5.544068,3
0,40,Entertainment,26944,1,41,2008,8,4.430462,2
1,110,Education,27814,8,111,2013,13,3.5410798,2
2,212,Education,327256,1,213,2019,19,5.514888,3
5,685,Office,270034,5,686,1983,17,4.732442,4
3,344,Education,77500,1,345,1949,51,4.889302,3
2,249,Entertainment,179449,1,250,1983,17,5.253941,3
15,1336,Office,31053,1,1337,1922,78,4.4921036,4
5,679,Community,43400,3,680,1983,17,4.1603484,4
13,1206,Office,99946,1,1207,1995,5,4.9997654,4
3,389,Education,57165,1,390,2021,21,4.75713,3
3,362,Community,21368,1,363,1998,2,4.329764,3
13,1196,Entertainment,57201,1,1197,1973,27,4.757404,4
0,56,Residential,60088,1,57,2020,20,4.7787876,2
9,888,Entertainment,137522,1,889,1972,28,5.138372,4
13,1151,Office,267536,1,1152,2016,16,5.427382,4
14,1310,Residential,57274,1,1311,2022,22,4.7579575,4
2,256,Education,16744,1,257,2003,3,4.2238593,3
15,1355,Education,50567,1,1356,2003,3,4.703867,4
2,204,Residential,30949,1,205,1958,42,4.490647,3
3,550,Community,16000,1,551,2021,21,4.20412,3
3,425,Warehouse,202829,1,426,1990,10,5.30713,3
8,812,Entertainment,9894,1,813,1993,7,3.9953718,4
3,332,Education,90400,1,333,1975,25,4.9561687,3
0,93,Office,33370,1,94,1989,11,4.5233564,2
9,991,Education,57811,1,992,2000,0,4.7620106,4
12,1046,Education,201350,1,1047,1999,1,5.3039517,4
0,81,Other,3025,1,82,1986,14,3.4807253,2
9,946,Education,177216,1,947,1991,9,5.2485027,4
8,846,Entertainment,481,1,847,1976,24,2.682145,4
9,921,Entertainment,262162,1,922,2007,7,5.4185696,4
14,1313,Healthcare,68637,1,1314,2020,20,4.8365583,4
3,412,Education,110000,1,413,2017,17,5.041393,3
13,1121,Education,85732,1,1122,1967,33,4.933143,4
15,1427,Education,180625,1,1428,1940,60,5.256778,4
15,1332,Education,47398,1,1333,1919,81,4.67576,4
14,1241,Healthcare,194188,1,1242,1973,27,5.2882223,4
3,377,Community,12506,1,378,1983,17,4.0971184,3
14,1304,Office,91363,1,1305,1974,26,4.96077,4
